"","Well","Tag","DateTime","Value"
"1","KU 12-17","press","2018-05-24 00:00:00.0000000",1873.55212402344
"2","KU 12-17","press","2018-05-24 00:00:07.9530000",1873.37548828125
"3","KU 12-17","press","2018-05-24 00:00:33.0060000",1873.19873046875
"4","KU 12-17","press","2018-05-24 00:01:03.0360000",1872.96313476562
"5","KU 12-17","press","2018-05-24 00:01:33.0820000",1872.904296875
"6","KU 12-17","press","2018-05-24 00:02:08.1200000",1872.66870117188
"7","KU 12-17","press","2018-05-24 00:02:33.2980000",1872.37426757812
"8","KU 12-17","press","2018-05-24 00:03:03.2030000",1872.3154296875
"9","KU 12-17","press","2018-05-24 00:03:38.2720000",1872.13879394531
"10","KU 12-17","press","2018-05-24 00:04:03.2950000",1871.9033203125
"11","KU 12-17","press","2018-05-24 00:04:43.3710000",1871.84436035156
"12","KU 12-17","press","2018-05-24 00:05:13.4170000",1871.78540039062
"13","KU 12-17","press","2018-05-24 00:05:38.4390000",1871.66772460938
"14","KU 12-17","press","2018-05-24 00:06:23.5230000",1871.314453125
"15","KU 12-17","press","2018-05-24 00:06:38.5460000",1871.37329101562
"16","KU 12-17","press","2018-05-24 00:07:03.5840000",1871.19653320312
"17","KU 12-17","press","2018-05-24 00:07:33.6300000",1871.02001953125
"18","KU 12-17","press","2018-05-24 00:08:03.6600000",1871.02001953125
"19","KU 12-17","press","2018-05-24 00:08:48.7440000",1870.90209960938
"20","KU 12-17","press","2018-05-24 00:09:03.7510000",1870.84326171875
"21","KU 12-17","press","2018-05-24 00:09:38.8200000",1870.78442382812
"22","KU 12-17","press","2018-05-24 00:10:03.8430000",1870.66662597656
"23","KU 12-17","press","2018-05-24 00:10:48.9270000",1870.548828125
"24","KU 12-17","press","2018-05-24 00:11:13.9650000",1870.31323242188
"25","KU 12-17","press","2018-05-24 00:11:38.9870000",1869.90112304688
"26","KU 12-17","press","2018-05-24 00:12:04.0250000",1869.84216308594
"27","KU 12-17","press","2018-05-24 00:12:34.0710000",1869.72436523438
"28","KU 12-17","press","2018-05-24 00:13:09.1240000",1869.54772949219
"29","KU 12-17","press","2018-05-24 00:13:44.1770000",1869.37109375
"30","KU 12-17","press","2018-05-24 00:14:09.2150000",1869.25329589844
"31","KU 12-17","press","2018-05-24 00:14:54.2840000",1869.25329589844
"32","KU 12-17","press","2018-05-24 00:15:14.3300000",1868.89990234375
"33","KU 12-17","press","2018-05-24 00:15:34.3450000",1868.72338867188
"34","KU 12-17","press","2018-05-24 00:16:19.4290000",1868.42895507812
"35","KU 12-17","press","2018-05-24 00:16:34.4360000",1868.31103515625
"36","KU 12-17","press","2018-05-24 00:17:04.4820000",1868.36999511719
"37","KU 12-17","press","2018-05-24 00:17:34.5430000",1868.07556152344
"38","KU 12-17","press","2018-05-24 00:18:04.5570000",1868.0166015625
"39","KU 12-17","press","2018-05-24 00:18:49.6570000",1868.07556152344
"40","KU 12-17","press","2018-05-24 00:19:24.7100000",1868.07556152344
"41","KU 12-17","press","2018-05-24 00:19:59.7640000",1868.0166015625
"42","KU 12-17","press","2018-05-24 00:20:29.7940000",1868.25219726562
"43","KU 12-17","press","2018-05-24 00:20:59.8390000",1868.60546875
"44","KU 12-17","press","2018-05-24 00:21:24.8770000",1868.89990234375
"45","KU 12-17","press","2018-05-24 00:21:59.9460000",1869.31225585938
"46","KU 12-17","press","2018-05-24 00:22:29.9920000",1869.54772949219
"47","KU 12-17","press","2018-05-24 00:22:55.0300000",1869.84216308594
"48","KU 12-17","press","2018-05-24 00:23:20.0520000",1870.19555664062
"49","KU 12-17","press","2018-05-24 00:23:45.1060000",1870.25439453125
"50","KU 12-17","press","2018-05-24 00:24:20.1440000",1870.7255859375
"51","KU 12-17","press","2018-05-24 00:24:50.2050000",1871.1376953125
"52","KU 12-17","press","2018-05-24 00:25:30.2500000",1871.37329101562
"53","KU 12-17","press","2018-05-24 00:25:50.2960000",1871.66772460938
"54","KU 12-17","press","2018-05-24 00:26:30.3570000",1871.84436035156
"55","KU 12-17","press","2018-05-24 00:27:00.4030000",1872.25659179688
"56","KU 12-17","press","2018-05-24 00:27:20.4330000",1872.37426757812
"57","KU 12-17","press","2018-05-24 00:28:00.5100000",1872.78662109375
"58","KU 12-17","press","2018-05-24 00:28:25.5320000",1873.02209472656
"59","KU 12-17","press","2018-05-24 00:28:40.5550000",1873.25756835938
"60","KU 12-17","press","2018-05-24 00:29:10.6160000",1873.4931640625
"61","KU 12-17","press","2018-05-24 00:29:55.6690000",1873.90539550781
"62","KU 12-17","press","2018-05-24 00:30:05.7000000",1874.14099121094
"63","KU 12-17","press","2018-05-24 00:30:35.7460000",1874.43542480469
"64","KU 12-17","press","2018-05-24 00:31:15.8060000",1874.84765625
"65","KU 12-17","press","2018-05-24 00:31:55.8670000",1875.14208984375
"66","KU 12-17","press","2018-05-24 00:32:10.8900000",1875.37768554688
"67","KU 12-17","press","2018-05-24 00:32:55.9590000",1875.73095703125
"68","KU 12-17","press","2018-05-24 00:33:26.0040000",1876.14306640625
"69","KU 12-17","press","2018-05-24 00:33:51.0270000",1876.55541992188
"70","KU 12-17","press","2018-05-24 00:34:21.0720000",1877.0263671875
"71","KU 12-17","press","2018-05-24 00:34:56.1410000",1877.37976074219
"72","KU 12-17","press","2018-05-24 00:35:26.2030000",1877.73315429688
"73","KU 12-17","press","2018-05-24 00:35:56.2480000",1878.14526367188
"74","KU 12-17","press","2018-05-24 00:36:26.2630000",1878.73413085938
"75","KU 12-17","press","2018-05-24 00:36:56.3080000",1879.08752441406
"76","KU 12-17","press","2018-05-24 00:37:21.3620000",1879.38195800781
"77","KU 12-17","press","2018-05-24 00:37:56.4000000",1879.85302734375
"78","KU 12-17","press","2018-05-24 00:38:21.4380000",1880.61865234375
"79","KU 12-17","press","2018-05-24 00:38:56.5060000",1881.26635742188
"80","KU 12-17","press","2018-05-24 00:39:26.5370000",1882.14965820312
"81","KU 12-17","press","2018-05-24 00:39:51.5590000",1882.79736328125
"82","KU 12-17","press","2018-05-24 00:40:26.6280000",1883.62182617188
"83","KU 12-17","press","2018-05-24 00:40:56.6890000",1884.4462890625
"84","KU 12-17","press","2018-05-24 00:41:26.7350000",1885.15283203125
"85","KU 12-17","press","2018-05-24 00:41:56.7800000",1886.09509277344
"86","KU 12-17","press","2018-05-24 00:42:26.8260000",1886.8017578125
"87","KU 12-17","press","2018-05-24 00:42:56.8720000",1887.44946289062
"88","KU 12-17","press","2018-05-24 00:43:26.9020000",1888.27392578125
"89","KU 12-17","press","2018-05-24 00:43:56.9630000",1889.03955078125
"90","KU 12-17","press","2018-05-24 00:44:26.9930000",1889.80505371094
"91","KU 12-17","press","2018-05-24 00:44:57.0390000",1890.68835449219
"92","KU 12-17","press","2018-05-24 00:45:27.1000000",1891.45385742188
"93","KU 12-17","press","2018-05-24 00:45:52.1070000",1892.1015625
"94","KU 12-17","press","2018-05-24 00:46:27.1910000",1892.74938964844
"95","KU 12-17","press","2018-05-24 00:46:57.2210000",1893.57373046875
"96","KU 12-17","press","2018-05-24 00:47:27.2670000",1894.33935546875
"97","KU 12-17","press","2018-05-24 00:47:57.3130000",1895.22265625
"98","KU 12-17","press","2018-05-24 00:48:27.3580000",1895.98828125
"99","KU 12-17","press","2018-05-24 00:48:57.4040000",1896.87158203125
"100","KU 12-17","press","2018-05-24 00:49:27.4500000",1897.81372070312
"101","KU 12-17","press","2018-05-24 00:49:57.5110000",1898.755859375
"102","KU 12-17","press","2018-05-24 00:50:27.5250000",1899.46264648438
"103","KU 12-17","press","2018-05-24 00:50:57.5870000",1900.40478515625
"104","KU 12-17","press","2018-05-24 00:51:27.6480000",1901.34692382812
"105","KU 12-17","press","2018-05-24 00:51:57.6930000",1902.40698242188
"106","KU 12-17","press","2018-05-24 00:52:27.7240000",1903.52587890625
"107","KU 12-17","press","2018-05-24 00:52:57.7690000",1904.4091796875
"108","KU 12-17","press","2018-05-24 00:53:22.8070000",1905.52795410156
"109","KU 12-17","press","2018-05-24 00:53:57.8600000",1906.587890625
"110","KU 12-17","press","2018-05-24 00:54:22.8990000",1907.53015136719
"111","KU 12-17","press","2018-05-24 00:54:57.9670000",1908.64892578125
"112","KU 12-17","press","2018-05-24 00:55:28.0130000",1909.65014648438
"113","KU 12-17","press","2018-05-24 00:55:58.0430000",1910.59228515625
"114","KU 12-17","press","2018-05-24 00:56:28.1040000",1911.59338378906
"115","KU 12-17","press","2018-05-24 00:56:58.1340000",1912.41772460938
"116","KU 12-17","press","2018-05-24 00:57:28.1800000",1913.30102539062
